O*NET Abilities,Importance
Oral Comprehension,0.90
Written Comprehension,0.94
Oral Expression,0.92
Written Expression,0.94
Fluency of Ideas,0.92
Originality,0.93
Problem Sensitivity,0.88
Deductive Reasoning,0.91
Inductive Reasoning,0.93
Information Ordering,0.81
Category Flexibility,0.83
Mathematical Reasoning,0.94
Number Facility,0.92
Memorization,0.83
Speed of Closure,0.82
Flexibility of Closure,0.84
Perceptual Speed,0.85
Spatial Orientation,0.95
Visualization,0.91
Selective Attention,0.68
Time Sharing,0.80
Arm-Hand Steadiness,0.98
Manual Dexterity,0.97
Finger Dexterity,0.94
Control Precision,0.97
Multilimb Coordination,0.97
Response Orientation,0.96
Rate Control,0.97
Reaction Time,0.97
Wrist-Finger Speed,0.90
Speed of Limb Movement,0.94
Static Strength,0.98
Explosive Strength,0.90
Dynamic Strength,0.95
Trunk Strength,0.94
Stamina,0.97
Extent Flexibility,0.97
Dynamic Flexibility,0.85
Gross Body Coordination,0.97
Gross Body Equilibrium,0.97
Near Vision,0.72
Far Vision,0.83
Visual Color Discrimination,0.91
Night Vision,0.95
Peripheral Vision,0.96
Depth Perception,0.95
Glare Sensitivity,0.96
Hearing Sensitivity,0.90
Auditory Attention,0.89
Sound Localization,0.95
Speech Recognition,0.84
Speech Clarity,0.89
