O*NET Abilities,Ability-Level AI Exposure,label
Arm-Hand Steadiness,-1.125,Psychomotor Abilities
Auditory Attention,0.66,Sensory Abilities
Category Flexibility,1.276,Cognitive Abilities
Control Precision,0.032,Psychomotor Abilities
Deductive Reasoning,1.04,Cognitive Abilities
Depth Perception,0.067,Sensory Abilities
Dynamic Flexibility,-1.452,Physical Abilities
Dynamic Strength,-1.582,Physical Abilities
Explosive Strength,-1.599,Physical Abilities
Extent Flexibility,-1.558,Physical Abilities
Far Vision,-0.197,Sensory Abilities
Finger Dexterity,-0.907,Psychomotor Abilities
Flexibility of Closure,1.36,Cognitive Abilities
Fluency of Ideas,0.401,Cognitive Abilities
Glare Sensitivity,-0.287,Sensory Abilities
Gross Body Coordination,-1.355,Physical Abilities
Gross Body Equilibrium,-1.417,Physical Abilities
Hearing Sensitivity,0.434,Sensory Abilities
Inductive Reasoning,0.964,Cognitive Abilities
Information Ordering,1.908,Cognitive Abilities
Manual Dexterity,-1.053,Psychomotor Abilities
Mathematical Reasoning,0.486,Cognitive Abilities
Memorization,1.686,Cognitive Abilities
Multilimb Coordination,-1.151,Psychomotor Abilities
Near Vision,0.15,Sensory Abilities
Night Vision,-0.377,Sensory Abilities
Number Facility,0.483,Cognitive Abilities
Oral Comprehension,0.7,Cognitive Abilities
Oral Expression,0.526,Cognitive Abilities
Originality,-0.144,Cognitive Abilities
Perceptual Speed,1.24,Cognitive Abilities
Peripheral Vision,-0.33,Sensory Abilities
Problem Sensitivity,0.538,Cognitive Abilities
Rate Control,-0.135,Psychomotor Abilities
Reaction Time,0.117,Psychomotor Abilities
Response Orientation,0.437,Psychomotor Abilities
Selective Attention,1.151,Cognitive Abilities
Sound Localization,0.317,Sensory Abilities
Spatial Orientation,0.375,Cognitive Abilities
Speech Clarity,0.568,Sensory Abilities
Speech Recognition,0.972,Sensory Abilities
Speed of Closure,1.377,Cognitive Abilities
Speed of Limb Movement,-1.302,Psychomotor Abilities
Stamina,-1.514,Physical Abilities
Static Strength,-1.562,Physical Abilities
Time Sharing,0.67,Cognitive Abilities
Trunk Strength,-1.721,Physical Abilities
Visual Color Determination,0.415,Sensory Abilities
Visualization,0.449,Cognitive Abilities
Wrist-Finger Speed,-1.051,Psychomotor Abilities
Written Comprehension,0.563,Cognitive Abilities
Written Expression,0.458,Cognitive Abilities
