CommonName,Latitude,Longitude,ATCOCode,NptgLocalityCode,Town
Aberdeen Rail Station,57.14370402316,-2.0986851221,9100ABRDEEN,ES000011,
Aberdour Rail Station,56.05459191149,-3.30056001734,9100ABDO,ES000016,
Achanalt Rail Station,57.60959583643,-4.91385125753,9100ACHANLT,N0078047,
Achnasheen Rail Station,57.57928965421,-5.07233213915,9100ACHNSHN,N0067674,
Achnashellach Rail Station,57.4820742655,-5.33305525596,9100ACHHSHL,N0067796,
Addiewell Rail Station,55.8434089458,-3.60652641249,9100ADIEWEL,N0067186,
Airbles Rail Station,55.78283310401,-3.994192441,9100AIRBLES,ES002695,
Airdrie Rail Station,55.86397879776,-3.98291206378,9100AIRDRIE,ES000054,
Alexandra Parade Rail Station,55.86317091519,-4.21064800754,9100ALXPD,ES001021,
Alexandria Rail Station,55.98508314964,-4.57748423627,9100ALXANDR,ES000063,
Alloa Rail Station,56.11778919186,-3.79005562154,9100ALLOA,ES000069,
Alness Rail Station,57.69439411691,-4.24971628511,9100ALNESS,ES000077,
Altnabreac Rail Station,58.38814827615,-3.70628021863,9100ALTNBRC,N0067845,
Anderston Rail Station,55.85989696643,-4.27097904299,9100ANDRSTN,ES003921,
Annan Rail Station,54.98383526891,-3.26258045813,9100ANNAN,ES000097,
Anniesland Rail Station,55.88935027219,-4.32195682994,9100ANSL,N0067986,
Arbroath Rail Station,56.559573741,-2.58893139426,9100ARBROTH,ES000115,
Ardgay Rail Station,57.88145239367,-4.36208920609,9100ARDGAY,N0067686,
Ardlui Rail Station,56.30196654417,-4.72165737568,9100ARDLUI,N0068330,
Ardrossan Harbour Rail Station,55.63987223045,-4.82111037688,9100ARDRSHB,ES000137,
Ardrossan South Beach Rail Station,55.64141617387,-4.80121139475,9100ARDRSSB,ES000137,
Ardrossan Town Rail Station,55.63970646967,-4.81267519968,9100ARDRSTN,ES000137,
Argyle Street Rail Station,55.8573039361,-4.25069388384,9100ARGYLST,ES003921,
Arisaig Rail Station,56.9125463927,-5.83907767832,9100ARISAIG,N0067742,
Armadale (W Lothian) Rail Station,55.88570975781,-3.69541259893,9100ARMDALE,ES000310,
Arrochar & Tarbet Rail Station,56.20397079227,-4.72277004057,9100ARCHRAT,ES000155,
Ashfield Rail Station,55.88892180962,-4.24921411534,9100ASFIELD,N0078795,
Attadale Rail Station,57.39503655976,-5.45557705188,9100ATADALE,N0067746,
Auchinleck Rail Station,55.47027326493,-4.29534918715,9100ACHILCK,ES000169,
Aviemore Rail Station,57.18851180144,-3.82886717842,9100AVIEMRE,ES000190,
Ayr Rail Station,55.45814202618,-4.62587561471,9100AYRR,ES000201,
Baillieston Rail Station,55.84450099237,-4.11369840014,9100BALISTN,ES000227,
Balloch Rail Station,56.00293367261,-4.5834854062,9100BALLOCH,N0067998,
Balmossie Rail Station,56.47456561313,-2.83895577579,9100BALMOSS,ES002649,
Banavie Rail Station,56.84330826717,-5.09542558529,9100BANAVIE,N0076371,
Barassie Rail Station,55.56105870797,-4.65113849796,9100BARASIE,N0068003,
Bargeddie Rail Station,55.8512912908,-4.07380735225,9100BRGDDIE,ES000288,
Barnhill Rail Station,55.87748980519,-4.2230048768,9100BNHL,N0076068,
Barrhead Rail Station,55.80375299006,-4.39728326663,9100BRHD,ES000295,
Barrhill Rail Station,55.0970046483,-4.7817810548,9100BRRHL,N0068007,
Barry Links Rail Station,56.49314888468,-2.74544172418,9100BRRYLNK,ES000301,
Bathgate Rail Station,55.89715220401,-3.636096071,9100BTHGATE,ES000306,
Bearsden Rail Station,55.91712933401,-4.33202012839,9100BSDN,ES000318,
Beasdale Rail Station,56.89955381334,-5.76380147353,9100BEASDAL,N0078880,
Beauly Rail Station,57.47828254385,-4.46986577748,9100BEAULY,ES000322,
Bellgrove Rail Station,55.85670421885,-4.22437393276,9100BLGRVE,N0076059,
Bellshill Rail Station,55.81706346181,-4.02449908366,9100BLSHL,ES000332,
Bishopbriggs Rail Station,55.90387809362,-4.22491474935,9100BSHB,ES000362,
Bishopton Rail Station,55.90226398296,-4.50048646597,9100BISHPTN,ES000366,
Blackridge Rail Station,55.88425139381,-3.75079666851,9100BLKRDGE,ES000380,
Blair Atholl Rail Station,56.7655459781,-3.85022795996,9100BLARATH,ES000385,
Blairhill Rail Station,55.86645081485,-4.04329031236,9100BLAIRHL,N0068016,
Blantyre Rail Station,55.7973256008,-4.08697074349,9100BLANTYR,ES000394,
Bogston Rail Station,55.93704156552,-4.71140097637,9100BOGSTON,N0072852,
Bowling Rail Station,55.93107940601,-4.49384152578,9100BOWLING,N0068020,
Branchton Rail Station,55.94059564078,-4.8035481115,9100BRNCHTN,N0068023,
Breich Rail Station,55.8273122529,-3.66812513594,9100BREICH,N0067241,
Bridge of Allan Rail Station,56.15663513682,-3.95722851142,9100BGOALAN,N0071776,
Bridge of Orchy Rail Station,56.5158669878,-4.76299278027,9100BOORCHY,N0072641,
Bridgeton Rail Station,55.8489625955,-4.22605627862,9100BRIDGTN,N0068025,
Brora Rail Station,58.01295022404,-3.85228286576,9100BRORA,ES000476,
Broughty Ferry Rail Station,56.46716024792,-2.8731522977,9100BRFRY,ES000481,
Brunstane Rail Station,55.94251073499,-3.10098600925,9100BRUSTAN,N0067244,
Burnside (Strathclyde) Rail Station,55.81692628016,-4.20238937676,9100BRSDE,N0076083,
Burntisland Rail Station,56.05708065767,-3.23319774528,9100BISLND,ES000511,
Busby Rail Station,55.78033939106,-4.26220074769,9100BUSBY,ES000521,
Caldercruix Rail Station,55.88794297805,-3.88771108683,9100CLDRCRX,ES000572,
Cambuslang Rail Station,55.81960606981,-4.17300841707,9100CMBSLNG,ES000586,
Camelon Rail Station,56.00609156743,-3.8176051635,9100CAMELON,ES000589,
Cameron Bridge Rail Station,56.190296,-3.047291,9100CMRNBDG,ES003882,
Cardenden Rail Station,56.14125541526,-3.26164187607,9100CDND,ES000605,
Cardonald Rail Station,55.85256840487,-4.3406924604,9100CDNL,ES000606,
Cardross Rail Station,55.96037865007,-4.65307320297,9100CDRS,ES000607,
Carfin Rail Station,55.8073390696,-3.95625367302,9100CARFIN,ES000612,
Carluke Rail Station,55.7312648908,-3.84892484004,9100CRLK,ES000615,
Carmyle Rail Station,55.83433678265,-4.15818019274,9100CARMYLE,N0068034,
Carnoustie Rail Station,56.50056336526,-2.70660036649,9100CNST,ES000632,
Carntyne Rail Station,55.85487268466,-4.17857220107,9100CNTY,ES000636,
Carrbridge Rail Station,57.27950132933,-3.82820281431,9100CARRBDG,ES000641,
Carstairs Rail Station,55.69104634156,-3.66847325053,9100CRSTRS,ES000656,
Cartsdyke Rail Station,55.94221312712,-4.73159071588,9100CRTSDYK,ES000660,
Cathcart Rail Station,55.81766834046,-4.26053606916,9100CCRT,ES003916,
Charing Cross (Glasgow) Rail Station,55.86468172851,-4.2698199535,9100CHRNGXG,ES003921,
Chatelherault Rail Station,55.76521874003,-4.00467437757,9100CHTLRT,N0078802,
Clarkston Rail Station,55.78934838179,-4.27564376395,9100CLRKSTN,ES000726,
Cleland Rail Station,55.80464762722,-3.91024399645,9100CLELAND,ES000732,
Clydebank Rail Station,55.90069113461,-4.4044138717,9100CLYBANK,ES000746,
Coatbridge Central Rail Station,55.8625055056,-4.03189676731,9100COATBDC,ES000759,
Coatbridge Sunnyside Rail Station,55.86683387583,-4.02828709977,9100COATBDS,ES000759,
Coatdyke Rail Station,55.86434001989,-4.00498438126,9100COATDYK,N0068046,
Connel Ferry Rail Station,56.45235269108,-5.38544091676,9100CONNELF,N0068396,
Conon Bridge Rail Station,57.56175145282,-4.44040531668,9100CONONBR,ES000800,
Corkerhill Rail Station,55.83750089223,-4.33429250121,9100CKHL,ES002692,
Corpach Rail Station,56.84282689887,-5.12195649279,9100CORPACH,N0067791,
Corrour Rail Station,56.76021359515,-4.69060019526,9100CORROUR,N0067793,
Cowdenbeath Rail Station,56.11209160961,-3.34318573941,9100CWDNBTH,N0072006,
Craigendoran Rail Station,55.99479604341,-4.71124372622,9100CRGDRN,N0068400,
Crianlarich Rail Station,56.39047613308,-4.61843353149,9100CRNLRCH,N0067262,
Croftfoot Rail Station,55.81825641114,-4.22832464295,9100CFFT,N0068060,
Crookston Rail Station,55.84231302331,-4.364674969,9100CROKSTN,N0068063,
Crosshill Rail Station,55.833285156,-4.2568112807,9100CROSSHL,N0072797,
Crossmyloof Rail Station,55.83394562496,-4.28431739537,9100CRSMYLF,N0068064,
Croy Rail Station,55.95567733298,-4.03597595896,9100CROY,ES000902,
Culrain Rail Station,57.91951303382,-4.40427062394,9100CULRAIN,N0067805,
Cumbernauld Rail Station,55.9420258408,-3.98033433173,9100CMBRNLD,ES000923,
Cupar Rail Station,56.31698720928,-3.00875616642,9100CUPAR,ES000946,
Curriehill Rail Station,55.90056536548,-3.31875136611,9100CURRIEH,ES000952,
Dalgety Bay Rail Station,56.04209459208,-3.36772058358,9100DALGETY,ES000964,
Dalmally Rail Station,56.40118919673,-4.98355207003,9100DLMALLY,N0068414,
Dalmarnock Rail Station,55.84208525865,-4.2177085974,9100DLMRNOK,N0068069,
Dalmeny Rail Station,55.98631862522,-3.38161960541,9100DLMY,ES000977,
Dalmuir Rail Station,55.91192925845,-4.42668089317,9100DALMUIR,N0068070,
Dalreoch Rail Station,55.94741499058,-4.57786294095,9100DLREOCH,ES001089,
Dalry Rail Station,55.70622012904,-4.71107962674,9100DALRY,ES000983,
Dalwhinnie Rail Station,56.93516967843,-4.2461984344,9100DALWHIN,N0067807,
Dingwall Rail Station,57.59423535123,-4.4221988056,9100DINGWAL,ES001028,
Drem Rail Station,56.00512260655,-2.7860478245,9100DREMJ,N0067276,
Drumchapel Rail Station,55.90481201207,-4.36287883047,9100DRMCHPL,N0068073,
Drumfrochar Rail Station,55.94124767379,-4.77476603849,9100DRMFCHR,ES001670,
Drumgelloch Rail Station,55.8673534022,-3.94888209929,9100DRMGLCH,N0068074,
Drumry Rail Station,55.90459189976,-4.38547224651,9100DRUMRY,N0078830,
Duirinish Rail Station,57.31997616293,-5.69131608048,9100DUIRNSH,ES001085,
Duke Street Rail Station,55.85843636846,-4.21304759402,9100DUKEST,ES001021,
Dumbarton Central Rail Station,55.94665487587,-4.56692057241,9100DMBRTNC,ES001089,
Dumbarton East Rail Station,55.94224688652,-4.55413669944,9100DMBRTNE,ES001089,
Dumbreck Rail Station,55.84464888672,-4.30123903352,9100DUMBRCK,N0068077,
Dumfries Rail Station,55.07255613515,-3.60430327253,9100DUMFRES,ES001098,
Dunbar Rail Station,55.99829367156,-2.51334613989,9100DUNBAR,ES001106,
Dunblane Rail Station,56.18588968272,-3.96548598926,9100DUNANE,N0076692,
Duncraig Rail Station,57.33700174333,-5.63713062864,9100DUNCRAG,N0076499,
Dundee Rail Station,56.4564859313,-2.97120454763,9100DUNDETB,ES003919,
Dunfermline Queen Margaret Rail Station,56.08057444146,-3.42146776882,9100DNFRMQM,ES001131,
Dunfermline Town Rail Station,56.06819000037,-3.45252866573,9100DNFRMLE,ES001131,
Dunkeld & Birnam Rail Station,56.55705650245,-3.57839892835,9100DUNKELD,ES001166,
Dunlop Rail Station,55.71187989072,-4.53238880056,9100DNLP,ES001170,
Dunrobin Castle Rail Station,57.98553352175,-3.94892085881,9100DNROBIN,ES001624,
Dyce Rail Station,57.20564973314,-2.19232230482,9100DYCE,ES001198,
East Kilbride Rail Station,55.76600339989,-4.18022700965,9100EKILBRD,ES001222,
East Linton,55.9856,-2.6579,9100ELINTN,ES001229,
Easterhouse Rail Station,55.85975623695,-4.10717637796,9100ESHS,ES001240,
Edinburgh Gateway Rail Station,55.94093991807,-3.32025139367,9100EDINGWY,N0067298,
Edinburgh Park Rail Station,55.9275507897,-3.30766414616,9100EDINPRK,N0078275,
Edinburgh Rail Station,55.95239282275,-3.18822768403,9100EDINBUR,ES001268,
Elgin Rail Station,57.64290938189,-3.31124590487,9100ELGIN,ES001294,
Eskbank Rail Station,55.88180241996,-3.08307301274,9100ESKBANK,N0067286,Eskbank
Exhibition Centre (Glasgow) Rail Station,55.86155089969,-4.2835887361,9100EXHIBTC,N0072795,
Fairlie Rail Station,55.75194238826,-4.85326741318,9100FAIRLIE,ES001338,
Falkirk Grahamston Rail Station,56.00261332185,-3.78504610591,9100FALKRKG,ES001347,
Falkirk High Rail Station,55.99181515745,-3.79224410991,9100FALKRKH,ES001347,
Falls of Cruachan Rail Station,56.39388301069,-5.11247770875,9100FLSCRHN,N0077119,
Fauldhouse Rail Station,55.82247342039,-3.71931861192,9100FAULDHS,ES001361,
Fearn Rail Station,57.77814233557,-3.99393568223,9100FEARN,ES001362,
Forres Rail Station,57.6111842607,-3.6248734232,9100FORRES,ES001428,
Forsinard Rail Station,58.3568992735,-3.89688025918,9100FORSNRD,N0067845,
Fort Matilda Rail Station,55.95903106439,-4.79526746689,9100FRTMTLD,N0068087,
Fort William Rail Station,56.82044410322,-5.10614331317,9100FRTWLM,ES001435,
Galashiels Rail Station,55.61789919402,-2.80595442613,9100GALASLS,ES001470,Galashiels
Garelochhead Rail Station,56.07986406304,-4.82571645796,9100GRLCHHD,ES001484,
Garrowhill Rail Station,55.8552384036,-4.12946047255,9100GARROWH,N0068089,
Garscadden Rail Station,55.88769461256,-4.3650045086,9100GSCD,N0078788,
Gartcosh Rail Station,55.88566065812,-4.0794941299,9100GRTCSH,ES001495,
Garve Rail Station,57.61304090021,-4.68839513463,9100GARVE,N0067849,
Georgemas Junction Rail Station,58.51362332981,-3.45212020527,9100GRGMASJ,N0076575,
Giffnock Rail Station,55.80398987679,-4.2930142015,9100GIFNOCK,ES001509,
Gilshochill Rail Station,55.89733791868,-4.28268445398,9100LAMBH,N0078790,
Girvan Rail Station,55.24631251032,-4.84838131184,9100GIRVAN,ES001522,
Glasgow Central Low Level Rail Station,55.85867988991,-4.25849169891,9100GLGCLL,ES003921,
Glasgow Central Rail Station,55.85975598502,-4.25764328891,9100GLGC,ES003921,
Glasgow Queen Street Low Level Rail Station,55.86234669685,-4.25064999759,9100GLGQLL,ES003921,
Glasgow Queen Street Rail Station,55.862188151,-4.25145586654,9100GLGQHL,ES003921,
Gleneagles Rail Station,56.27484954982,-3.73116793619,9100GLNEGLS,ES000174,
Glenfinnan Rail Station,56.87240231976,-5.44961984742,9100GLNFNNN,N0067858,
Glengarnock Rail Station,55.73888753413,-4.67450167211,9100GLGN,N0068096,
Glenrothes with Thornton Rail Station,56.16235694685,-3.14301531585,9100GLNRTHS,ES003641,
Golf Street Rail Station,56.49779377657,-2.71954350776,9100GOLFSTR,ES000632,
Golspie Rail Station,57.97146454211,-3.98721490391,9100GOLSPIE,ES001624,
Gorebridge Rail Station,55.84027351646,-3.04651536474,9100GOREBRG,ES001632,Gorebridge
Gourock Rail Station,55.96231897807,-4.81665768526,9100GOUROCK,ES001638,
Greenfaulds Rail Station,55.93523260388,-3.99310001402,9100GRNFLDS,N0068102,
Greenock Central Rail Station,55.94533992003,-4.75263397532,9100GRENCKC,ES001670,
Greenock West Rail Station,55.94733624441,-4.7678331889,9100GRENCKW,ES001670,
Gretna Green Rail Station,55.00104669035,-3.06519801075,9100GRETGRN,N0068605,
Hairmyres Rail Station,55.76196554256,-4.22001082493,9100HARMYRS,ES001696,
Hamilton Central Rail Station,55.77319351196,-4.03888482876,9100HAMLTNC,ES001705,
Hamilton West Rail Station,55.77885975635,-4.05480814501,9100HAMLTNW,ES001705,
Hartwood Rail Station,55.81148069027,-3.83932187478,9100HRTW,ES001726,
Hawkhead Rail Station,55.84219036376,-4.39885086094,9100HWKHEAD,N0078755,
Haymarket Rail Station,55.94580778669,-3.21844944732,9100HAYMRKT,ES001737,
Helensburgh Central Rail Station,56.00420813089,-4.73275781695,9100HLNSBRC,ES001745,
Helensburgh Upper Rail Station,56.01236323697,-4.72980401262,9100HLNSBRU,ES001745,
Helmsdale Rail Station,58.11743877499,-3.65868757454,9100HELMSDL,ES001750,
High Street (Glasgow) Rail Station,55.85956410153,-4.24011796038,9100GLGHST,ES003921,
Hillfoot Rail Station,55.92009247965,-4.3202741542,9100HLFT,N0078782,
Hillington East Rail Station,55.85418250311,-4.35501023499,9100HLNGTNE,N0068111,
Hillington West Rail Station,55.85602117623,-4.37158000999,9100HLNGTNW,N0068111,
Holytown Rail Station,55.81289802578,-3.97392891261,9100HOLYTWN,ES001782,
Howwood (Renfrewshire) Rail Station,55.81056429279,-4.56305799907,9100HOWOOD,ES001798,
Huntly Rail Station,57.44448830437,-2.77574000591,9100HNTL,ES001807,
Hyndland Rail Station,55.87975404798,-4.3146684253,9100HYNDLND,N0076061,
IBM (Greenock) Rail Station,55.92944701922,-4.82723999939,9100IBMM,ES001670,
Insch Rail Station,57.33749852801,-2.6171121957,9100INSCH,ES001847,
Invergordon Rail Station,57.6890185091,-4.17484037251,9100IVRGRD,ES001865,
Invergowrie Rail Station,56.45647330483,-3.05739771447,9100INVGWRE,N0068281,
Inverkeithing Rail Station,56.03467704738,-3.39618687988,9100IVRKTHG,ES001868,
Inverkip Rail Station,55.90610443226,-4.8725861441,9100INVERKP,ES001874,
Inverness Airport,57.5335,-4.0552,9100IVRNAIR,N0076589,
Inverness Rail Station,57.47986985951,-4.22336102056,9100IVRNESS,ES001879,
Invershin Rail Station,57.92486908834,-4.39947783533,9100INVRSHN,N0067877,
Inverurie Rail Station,57.28626722412,-2.37355953092,9100INVURIE,ES001883,
Irvine Rail Station,55.61087412694,-4.67514543399,9100IRVN,ES001888,
Johnstone Rail Station,55.83470868472,-4.50363725747,9100JOHNSTN,ES001913,
Jordanhill Rail Station,55.8827064637,-4.3249178619,9100JORDANH,N0072799,
Keith Rail Station,57.55089916021,-2.95406879825,9100KEITH,ES001929,
Kelvindale Rail Station,55.89355582007,-4.30957257937,9100DAWSHLM,ES001943,
Kennishead Rail Station,55.81331572168,-4.32524615764,9100KENISHD,N0068124,
Kildonan Rail Station,58.17080946408,-3.86910608461,9100KILDONN,ES001985,
Kilmarnock Rail Station,55.61211761353,-4.49868475746,9100KILMRNK,ES002011,
Kilmaurs Rail Station,55.63720791841,-4.53049038013,9100KLMAURS,ES002039,
Kilpatrick Rail Station,55.92470139247,-4.45341195771,9100KLPTRCK,ES002912,
Kilwinning Rail Station,55.65595118696,-4.71001861287,9100KILWNNG,ES002074,
Kinbrace Rail Station,58.2583126802,-3.94120792686,9100KINBRAC,N0067893,
Kinghorn Rail Station,56.0693375269,-3.17415408031,9100KGHN,ES002098,
Kings Park Rail Station,55.81954306857,-4.24651694576,9100KGPK,ES002106,
Kingsknowe Rail Station,55.91881345437,-3.2649661733,9100KNGW,N0078876,
Kingussie Rail Station,57.07778172589,-4.05219219776,9100KGUSSIE,ES002113,
Kintore Railway Station,57.2435128459,-2.35024422812,9100KINTORE,ES002139,
Kirkcaldy Rail Station,56.11205808403,-3.16702833801,9100KCLD,ES002147,
Kirkconnel Rail Station,55.38830332366,-3.99850027759,9100KRKC,ES002171,
Kirkhill Rail Station,55.81391345738,-4.1671046669,9100KRKH,ES000586,
Kirknewton Rail Station,55.88869087395,-3.43251158842,9100KRKNWTN,ES002209,
Kirkwood Rail Station,55.85418848343,-4.04839825583,9100KRKWOOD,ES000759,
Kyle of Lochalsh Rail Station,57.27977227388,-5.71381265017,9100KYLELSH,ES002246,
Ladybank Rail Station,56.27378152363,-3.12227515513,9100LADYBNK,ES002251,
Lairg Rail Station,58.00182927887,-4.39988881431,9100LAIRG,ES002261,
Lanark Rail Station,55.67360739151,-3.77329022079,9100LANARK,ES002266,
Langbank Rail Station,55.92451952347,-4.58527451921,9100LGBK,ES002273,
Langside Rail Station,55.82113297671,-4.27734005577,9100LNSD,N0068138,
Larbert Rail Station,56.02270410128,-3.83058067732,9100LARBERT,ES002282,
Largs Rail Station,55.7927432381,-4.86719750196,9100LARGS,ES002288,
Larkhall Rail Station,55.73859532251,-3.97551164305,9100LARKHAL,ES002294,
Laurencekirk Rail Station,56.836805,-2.4655051,9100LRNCKRK,ES002306,
Lenzie Rail Station,55.92131829782,-4.15389043381,9100LENZIE,ES002326,
Leuchars Rail Station,56.37510263119,-2.89371304945,9100LEUCHRS,ES002351,
Leven Rail Station,56.192386,-3.001894,9100LEVEN,ES002355,
Linlithgow Rail Station,55.97645235853,-3.59585212554,9100LNLTHGW,ES002375,
Livingston North Rail Station,55.9013836374,-3.54435085169,9100LVNSTNN,ES001009,
Livingston South Rail Station,55.87169300775,-3.5015691465,9100LVNSTNS,ES002729,
