Series ID,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Annual 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Annual 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Annual 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Nov 2025
LNU03000000,7207,6782,6168,5458,5548,6334,6255,6256,5460,5609,5523,5352,5996,6378,6465,6043,5146,5700,6351,6372,6623,6049,6098,5827,5907,6080,6778,6970,6604,5894,6235,7233,7685,7415,6524,6631,6708,6452,6761,7467,7572,7242,6582,6815,7460,7847,7747,7324,7401
LNU04000000,4.4,4.1,3.8,3.3,3.4,3.8,3.8,3.8,3.3,3.4,3.4,3.3,3.6,3.9,3.9,3.6,3.1,3.4,3.8,3.8,3.9,3.6,3.6,3.5,3.5,3.6,4.1,4.2,3.9,3.5,3.7,4.3,4.5,4.4,3.9,3.9,4,3.8,4,4.4,4.5,4.2,3.9,4,4.4,4.6,4.5,4.3,4.3
LNU03032229,5822,5479,5035,4288,4353,4607,4475,4786,4297,4381,4253,4117,4658,5061,5218,4842,4062,4483,4449,4673,4938,4762,4636,4676,4595,4700,5450,5522,5201,4795,4872,5173,5636,5420,4968,5207,5186,5021,5204,6000,5978,5567,5108,5228,5367,5487,5610,5587,5521
LNU04032229,4.5,4.2,3.9,3.3,3.3,3.5,3.4,3.6,3.3,3.4,3.3,3.2,3.6,3.9,4,3.7,3.1,3.4,3.3,3.5,3.7,3.6,3.5,3.5,3.5,3.5,4.1,4.2,3.9,3.6,3.7,3.9,4.2,4,3.7,3.9,3.9,3.8,3.9,4.4,4.4,4.1,3.8,3.9,3.9,4,4.1,4.1,4.1
LNU03032230,46,29,14,19,24,10,6,16,16,4,19,12,18,2,17,36,11,10,7,17,16,16,39,13,9,16,16,24,17,8,19,7,31,22,12,14,12,35,18,30,23,8,23,23,10,22,20,33,50
LNU04032230,8.4,5,2.6,3.4,4.1,1.6,0.8,2.6,2.5,0.8,3.1,1.9,3,0.3,3,6.5,1.8,1.8,1.3,2.7,2.5,2.6,6.1,2.2,1.7,2.7,3,4.2,3.3,1.3,3.1,1.3,5.4,3.5,2,2.5,1.9,5.4,3.1,5,3.9,1.4,4,4.2,1.9,4.2,4,6.8,9
LNU03032231,709,677,598,464,392,385,359,401,346,419,393,443,466,720,708,598,424,355,381,410,424,392,414,496,442,480,699,711,570,555,406,345,420,338,403,456,482,550,494,669,741,573,594,373,364,379,347,404,431
LNU04032231,7.1,6.7,6,4.6,3.8,3.7,3.5,3.9,3.4,4.1,3.9,4.4,4.6,6.9,6.6,5.6,4.1,3.5,3.6,3.9,3.9,3.8,4,4.8,4.4,4.6,6.9,7,5.4,5.2,3.9,3.3,3.9,3.2,3.7,4.2,4.6,5.2,4.7,6.5,7.2,5.4,5.6,3.5,3.4,3.4,3.2,3.8,4.1
LNU03032232,549,497,485,489,422,465,491,515,416,463,401,271,455,399,464,459,429,409,396,420,433,495,478,487,456,444,512,450,469,416,398,469,537,514,481,537,517,542,487,605,456,479,552,547,544,641,555,571,507
LNU04032232,3.6,3.2,3.1,3.2,2.8,3,3.2,3.3,2.8,3.1,2.7,1.8,3,2.6,3,2.9,2.8,2.7,2.6,2.7,2.7,3.2,3.1,3.1,3,2.8,3.4,3,3,2.7,2.7,3.1,3.6,3.5,3.2,3.6,3.4,3.5,3.2,3.9,2.9,3.1,3.6,3.6,3.6,4.2,3.8,3.7,3.3
LNU03032233,305,324,343,312,256,277,276,278,236,319,254,175,279,228,268,257,240,245,238,261,264,278,318,286,206,257,284,270,311,281,188,278,298,301,278,390,344,334,297,316,316,288,320,356,334,413,287,361,270
LNU04032233,3.1,3.3,3.5,3.3,2.7,2.9,2.9,2.8,2.5,3.3,2.6,1.8,2.9,2.3,2.6,2.5,2.4,2.5,2.4,2.6,2.6,2.8,3.3,2.9,2.1,2.6,2.9,2.8,3.1,2.9,2,2.8,3.1,3.2,2.9,4.1,3.5,3.3,3.1,3.2,3.1,2.9,3.2,3.6,3.4,4.2,3,3.6,2.6
LNU03032234,245,174,142,177,166,189,215,237,181,144,148,95,176,172,196,202,190,164,158,159,169,217,160,201,250,186,227,180,158,134,210,191,239,212,204,146,172,208,190,289,141,190,232,191,211,228,268,210,237
LNU04032234,4.4,3.1,2.5,3,2.9,3.2,3.7,4.1,3.3,2.7,2.7,1.8,3.1,3.1,3.6,3.6,3.4,3,2.9,2.9,3,3.9,2.8,3.5,4.6,3.4,4.2,3.4,2.9,2.4,3.9,3.6,4.5,4,3.9,2.8,3.2,3.8,3.5,5.2,2.6,3.6,4.3,3.7,4,4.4,5,4,4.5
LNU03032235,956,983,881,805,819,799,804,724,768,699,666,688,799,992,1039,846,644,855,855,758,766,889,789,735,810,832,936,926,939,725,718,988,965,931,848,906,924,897,892,1135,967,933,862,1005,1001,877,891,928,1092
LNU04032235,4.8,4.9,4.6,4.2,4.2,4.1,4.1,3.7,4,3.6,3.5,3.6,4.1,5.1,5.4,4.4,3.3,4.4,4.4,3.8,3.8,4.5,4,3.6,4,4.2,4.6,4.7,4.8,3.8,3.7,5.1,4.9,4.8,4.4,4.7,4.8,4.5,4.6,5.6,4.8,4.7,4.3,5.1,5,4.4,4.7,4.8,5.6
LNU03032236,365,409,433,287,348,323,310,349,337,273,360,349,345,345,377,390,298,282,263,374,370,379,361,346,322,342,351,424,401,358,413,378,432,365,373,342,349,308,375,274,349,360,280,322,328,329,451,340,371
LNU04032236,4.5,5.1,5.1,3.4,4.1,3.8,3.7,4.3,4,3.3,4.2,4,4.1,4.2,4.5,4.6,3.6,3.3,3.1,4.5,4.4,4.7,4.5,4.1,3.9,4.1,4.3,5.2,4.9,4.4,5,4.5,5.1,4.3,4.6,4.2,4.3,3.8,4.6,3.2,4.1,4.2,3.3,3.9,3.9,3.9,5.5,3.9,4.4
LNU03032237,102,91,58,69,70,80,62,84,85,94,57,67,77,114,87,84,38,73,85,64,106,117,106,100,86,88,156,121,96,128,119,147,145,148,98,71,58,98,115,152,148,133,119,143,103,140,118,177,125
LNU04032237,4.2,3.7,2.3,2.7,2.9,3.1,2.4,3.2,3.2,3.3,2.1,2.4,2.9,3.9,3.2,3.1,1.4,2.5,3.1,2.4,4.1,4.3,3.7,3.7,3.1,3.2,5.5,4.3,3.6,5,4.7,5.9,5.6,6,3.8,2.7,2.3,3.9,4.4,5.7,5.4,5,4.6,5.5,4,5.5,4.5,7,5
