FIPS Code,Geographic Area,AIGE
1000,Alabama,0.5171078
1001,Autauga County,-0.7004653
1003,Baldwin County,-0.6358306
1005,Barbour County,-1.192217
1007,Bibb County,-0.6349329
1009,Blount County,0.5154838
1011,Bullock County,0.5297253
1013,Butler County,-0.2586553
1015,Calhoun County,0.0325176
1017,Chambers County,-1.29771
1019,Cherokee County,0.9980787
1021,Chilton County,0.6006168
1023,Choctaw County,-0.9606203
1025,Clarke County,-1.522268
1027,Clay County,1.520164
1029,Cleburne County,2.306943
1031,Coffee County,-0.6304043
1033,Colbert County,-0.8779106
1035,Conecuh County,-0.5892835
1037,Coosa County,2.465885
1039,Covington County,1.245526
1041,Crenshaw County,-1.699608
1043,Cullman County,-0.7087454
1045,Dale County,0.2418638
1047,Dallas County,0.4795224
1049,DeKalb County,0.0045424
1051,Elmore County,-0.9159446
1053,Escambia County,-0.1087469
1055,Etowah County,-0.0570396
1057,Fayette County,0.5928427
1059,Franklin County,-0.9889871
1061,Geneva County,-0.1518367
1063,Greene County,-2.279977
1065,Hale County,1.193758
1067,Henry County,-0.6244182
1069,Houston County,-0.086216
1071,Jackson County,1.573224
1073,Jefferson County,0.8040968
1075,Lamar County,0.5597874
1077,Lauderdale County,0.0153885
1079,Lawrence County,1.636416
1081,Lee County,-0.4407968
1083,Limestone County,-0.3781219
1085,Lowndes County,-0.9963984
1087,Macon County,1.57472
1089,Madison County,1.530059
1091,Marengo County,0.0439254
1093,Marion County,0.7724687
1095,Marshall County,-1.546875
1097,Mobile County,0.4381237
1099,Monroe County,-0.9257059
1101,Montgomery County,0.657557
1103,Morgan County,0.10284
1105,Perry County,-1.097994
1107,Pickens County,-2.066845
1109,Pike County,-0.8466054
1111,Randolph County,1.49553
1113,Russell County,1.003071
1115,St. Clair County,-0.4671196
1117,Shelby County,0.8177338
1119,Sumter County,-1.294348
1121,Talladega County,-0.1755718
1123,Tallapoosa County,-0.1034041
1125,Tuscaloosa County,-0.5568174
1127,Walker County,-0.3574956
1129,Washington County,-1.962855
1131,Wilcox County,-1.264932
1133,Winston County,-1.340532
2000,Alaska,0.4709651
2013,Aleutians East Borough,-3.137842
2016,Aleutians West Census Area,-1.377656
2020,Anchorage Municipality,0.5144143
2050,Bethel Census Area,3.34513
