NAICS,NAICS Description,Image Generation AIIE,Language Modeling AIIE
113300,Logging,-0.0750081,
115100,Support Activities for Crop Production,-2.262607,
115200,Support Activities for Animal Production,-1.162119,
211100,Oil and Gas Extraction,1.114644,
212100,Coal Mining,-0.257535,
212200,Metal Ore Mining,-0.0988843,
212300,Nonmetallic Mineral Mining and Quarrying,-0.385228,
213100,Support Activities for Mining,-0.5005459,
221100,"Electric Power Generation, Transmission and Distribution",0.704051,
221200,Natural Gas Distribution,0.7333205,
221300,"Water, Sewage and Other Systems",0.1092118,
236100,Residential Building Construction,-0.55898,
236200,Nonresidential Building Construction,-0.2269581,
237100,Utility System Construction,-0.708504,
237200,Land Subdivision,0.8166966,
237300,"Highway, Street, and Bridge Construction",-0.7802371,
237900,Other Heavy and Civil Engineering Construction,-0.5977363,
238100,"Foundation, Structure, and Building Exterior Contractors",-1.602655,
238200,Building Equipment Contractors,-0.2382211,
238300,Building Finishing Contractors,-1.490199,
238900,Other Specialty Trade Contractors,-0.92169,
311100,Animal Food Manufacturing,-0.5855823,
311200,Grain and Oilseed Milling,-0.5628731,
311300,Sugar and Confectionery Product Manufacturing,-0.9476967,
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.9590802,
311500,Dairy Product Manufacturing,-0.7278039,
311600,Animal Slaughtering and Processing,-1.930399,
311700,Seafood Product Preparation and Packaging,-1.418681,
311800,Bakeries and Tortilla Manufacturing,-0.8721417,
311900,Other Food Manufacturing,-0.8650484,
312100,Beverage Manufacturing,-0.7857221,
312200,Tobacco Manufacturing,-0.5900809,
313100,"Fiber, Yarn, and Thread Mills",-1.462242,
313200,Fabric Mills,-1.090743,
313300,Textile and Fabric Finishing and Fabric Coating Mills,-0.2630878,
314100,Textile Furnishings Mills,-0.6485577,
314900,Other Textile Product Mills,0.0540214,
315100,Apparel Knitting Mills,-1.344601,
315200,Cut and Sew Apparel Manufacturing,0.0828368,
315900,Apparel Accessories and Other Apparel Manufacturing,-0.0603035,
316100,Leather and Hide Tanning and Finishing,-1.005178,
316200,Footwear Manufacturing,-0.3678209,
316900,Other Leather and Allied Product Manufacturing,-0.3059072,
321100,Sawmills and Wood Preservation,-1.016212,
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.8070484,
321900,Other Wood Product Manufacturing,-0.8864087,
322100,"Pulp, Paper, and Paperboard Mills",-0.6130537,
322200,Converted Paper Product Manufacturing,-0.6015435,
323100,Printing and Related Support Activities,0.250964,
324100,Petroleum and Coal Products Manufacturing,0.4192117,
325400,Pharmaceutical and Medicine Manufacturing,0.8204141,
326100,Plastics Product Manufacturing,-0.6659414,
326200,Rubber Product Manufacturing,-0.8993759,
327000,Nonmetallic Mineral Product Manufacturing,-0.4583566,
331100,Iron and Steel Mills and Ferroalloy Manufacturing,-0.5029725,
331200,Steel Product Manufacturing from Purchased Steel,-0.5273881,
331300,Alumina and Aluminum Production and Processing,-0.648177,
331400,Nonferrous Metal (except Aluminum) Production and Processing,-0.3394341,
331500,Foundries,-0.7487636,
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",-0.2372404,
332800,"Coating, Engraving, Heat Treating, and Allied Activities",-0.6446335,
333300,Commercial and Service Industry Machinery Manufacturing,0.7582814,
333500,Metalworking Machinery Manufacturing,0.1118279,
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.6865003,
334100,Computer and Peripheral Equipment Manufacturing,2.041082,
334200,Communications Equipment Manufacturing,1.607978,
334300,Audio and Video Equipment Manufacturing,1.496343,
334400,Semiconductor and Other Electronic Component Manufacturing,1.309517,
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.671551,
334600,Manufacturing and Reproducing Magnetic and Optical Media,0.2384267,
335100,Electric Lighting Equipment Manufacturing,0.7916799,
335200,Household Appliance Manufacturing,0.4128804,
335300,Electrical Equipment Manufacturing,0.805355,
335900,Other Electrical Equipment and Component Manufacturing,0.2998135,
336100,Motor Vehicle Manufacturing,0.2444118,
336200,Motor Vehicle Body and Trailer Manufacturing,-0.3770952,
336300,Motor Vehicle Parts Manufacturing,-0.108322,
336400,Aerospace Product and Parts Manufacturing,1.190376,
336500,Railroad Rolling Stock Manufacturing,-0.1504968,
336600,Ship and Boat Building,-0.0544223,
336900,Other Transportation Equipment Manufacturing,0.2530909,
337900,Other Furniture Related Product Manufacturing,-0.2421737,
339100,Medical Equipment and Supplies Manufacturing,0.7815458,
339900,Other Miscellaneous Manufacturing,0.27896,
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,-0.1881213,
423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1.035819,
423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.2045736,
424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.4999831,
424500,Farm Product Raw Material Merchant Wholesalers,-0.6547234,
425100,Wholesale Electronic Markets and Agents and Brokers,0.6943218,
441100,Automobile Dealers,-0.4832686,
441200,Other Motor Vehicle Dealers,-0.5658475,
441300,"Automotive Parts, Accessories, and Tire Stores",-0.8744745,
442100,Furniture Stores,-0.5852913,
442200,Home Furnishings Stores,-0.7690282,
