Series ID,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Annual 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Annual 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Annual 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Nov 2025,labor_force_status,type_of_data,age,class_of_worker,industry,AI_Exposure_Score
LNU03000000,7207.0,6782.0,6168.0,5458.0,5548.0,6334.0,6255.0,6256.0,5460.0,5609.0,5523.0,5352.0,5996.0,6378.0,6465.0,6043.0,5146.0,5700.0,6351.0,6372.0,6623.0,6049.0,6098.0,5827.0,5907.0,6080.0,6778.0,6970.0,6604.0,5894.0,6235.0,7233.0,7685.0,7415.0,6524.0,6631.0,6708.0,6452.0,6761.0,7467.0,7572.0,7242.0,6582.0,6815.0,7460.0,7847.0,7747.0,7324.0,7401.0,Unemployed,Number in thousands,16 years and over,,,
LNU04000000,4.4,4.1,3.8,3.3,3.4,3.8,3.8,3.8,3.3,3.4,3.4,3.3,3.6,3.9,3.9,3.6,3.1,3.4,3.8,3.8,3.9,3.6,3.6,3.5,3.5,3.6,4.1,4.2,3.9,3.5,3.7,4.3,4.5,4.4,3.9,3.9,4.0,3.8,4.0,4.4,4.5,4.2,3.9,4.0,4.4,4.6,4.5,4.3,4.3,Unemployment rate,Percent or rate,16 years and over,,,
LNU03032229,5822.0,5479.0,5035.0,4288.0,4353.0,4607.0,4475.0,4786.0,4297.0,4381.0,4253.0,4117.0,4658.0,5061.0,5218.0,4842.0,4062.0,4483.0,4449.0,4673.0,4938.0,4762.0,4636.0,4676.0,4595.0,4700.0,5450.0,5522.0,5201.0,4795.0,4872.0,5173.0,5636.0,5420.0,4968.0,5207.0,5186.0,5021.0,5204.0,6000.0,5978.0,5567.0,5108.0,5228.0,5367.0,5487.0,5610.0,5587.0,5521.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Nonagriculture industries,0.07690563166738
LNU04032229,4.5,4.2,3.9,3.3,3.3,3.5,3.4,3.6,3.3,3.4,3.3,3.2,3.6,3.9,4.0,3.7,3.1,3.4,3.3,3.5,3.7,3.6,3.5,3.5,3.5,3.5,4.1,4.2,3.9,3.6,3.7,3.9,4.2,4.0,3.7,3.9,3.9,3.8,3.9,4.4,4.4,4.1,3.8,3.9,3.9,4.0,4.1,4.1,4.1,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Nonagriculture industries,0.07690563166738
LNU03032230,46.0,29.0,14.0,19.0,24.0,10.0,6.0,16.0,16.0,4.0,19.0,12.0,18.0,2.0,17.0,36.0,11.0,10.0,7.0,17.0,16.0,16.0,39.0,13.0,9.0,16.0,16.0,24.0,17.0,8.0,19.0,7.0,31.0,22.0,12.0,14.0,12.0,35.0,18.0,30.0,23.0,8.0,23.0,23.0,10.0,22.0,20.0,33.0,50.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,"Mining, quarrying, and oil and gas extraction",-0.67779472
LNU04032230,8.4,5.0,2.6,3.4,4.1,1.6,0.8,2.6,2.5,0.8,3.1,1.9,3.0,0.3,3.0,6.5,1.8,1.8,1.3,2.7,2.5,2.6,6.1,2.2,1.7,2.7,3.0,4.2,3.3,1.3,3.1,1.3,5.4,3.5,2.0,2.5,1.9,5.4,3.1,5.0,3.9,1.4,4.0,4.2,1.9,4.2,4.0,6.8,9.0,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,"Mining, quarrying, and oil and gas extraction",-0.67779472
LNU03032231,709.0,677.0,598.0,464.0,392.0,385.0,359.0,401.0,346.0,419.0,393.0,443.0,466.0,720.0,708.0,598.0,424.0,355.0,381.0,410.0,424.0,392.0,414.0,496.0,442.0,480.0,699.0,711.0,570.0,555.0,406.0,345.0,420.0,338.0,403.0,456.0,482.0,550.0,494.0,669.0,741.0,573.0,594.0,373.0,364.0,379.0,347.0,404.0,431.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Construction,-0.99696114
LNU04032231,7.1,6.7,6.0,4.6,3.8,3.7,3.5,3.9,3.4,4.1,3.9,4.4,4.6,6.9,6.6,5.6,4.1,3.5,3.6,3.9,3.9,3.8,4.0,4.8,4.4,4.6,6.9,7.0,5.4,5.2,3.9,3.3,3.9,3.2,3.7,4.2,4.6,5.2,4.7,6.5,7.2,5.4,5.6,3.5,3.4,3.4,3.2,3.8,4.1,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Construction,-0.99696114
LNU03032232,549.0,497.0,485.0,489.0,422.0,465.0,491.0,515.0,416.0,463.0,401.0,271.0,455.0,399.0,464.0,459.0,429.0,409.0,396.0,420.0,433.0,495.0,478.0,487.0,456.0,444.0,512.0,450.0,469.0,416.0,398.0,469.0,537.0,514.0,481.0,537.0,517.0,542.0,487.0,605.0,456.0,479.0,552.0,547.0,544.0,641.0,555.0,571.0,507.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Manufacturing,
LNU04032232,3.6,3.2,3.1,3.2,2.8,3.0,3.2,3.3,2.8,3.1,2.7,1.8,3.0,2.6,3.0,2.9,2.8,2.7,2.6,2.7,2.7,3.2,3.1,3.1,3.0,2.8,3.4,3.0,3.0,2.7,2.7,3.1,3.6,3.5,3.2,3.6,3.4,3.5,3.2,3.9,2.9,3.1,3.6,3.6,3.6,4.2,3.8,3.7,3.3,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Manufacturing,
