series_id,series_title,labor_force_status,type_of_data,age,class_of_worker,labor_force_experience,industry
LNU03000000,(Unadj) Unemployment Level,Unemployed,Number in thousands,16 years and over,,,
LNU04000000,(Unadj) Unemployment Rate,Unemployment rate,Percent or rate,16 years and over,,,
LNU03032229,"(Unadj) Unemployment Level - Nonagriculture, Private Wage and Salary Workers",Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Experienced,Nonagriculture industries
LNU04032229,"(Unadj) Unemployment Rate - Nonagriculture, Private Wage and Salary Workers",Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Experienced,Nonagriculture industries
LNU03032230,"(Unadj) Unemployment Level - Mining, quarrying, and oil and gas extraction, Nonagricultural Private Wage and Salary Workers",Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Experienced,"Mining, quarrying, and oil and gas extraction"
LNU04032230,"(Unadj) Unemployment Rate - Mining, quarrying, and oil and gas extraction, Nonagricultural Private Wage and Salary Workers",Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Experienced,"Mining, quarrying, and oil and gas extraction"
LNU03032231,"(Unadj) Unemployment Level - Construction Industry, Private Wage and Salary Workers",Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Experienced,Construction
LNU04032231,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers",Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Experienced,Construction
LNU03032232,"(Unadj) Unemployment Level - Manufacturing Industry, Private Wage and Salary Workers",Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Experienced,Manufacturing
LNU04032232,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers",Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Experienced,Manufacturing
LNU03032233,"(Unadj) Unemployment Level - Durable Goods Industry, Private Wage and Salary Workers",Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Experienced,Durable goods manufacturing
LNU04032233,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers",Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Experienced,Durable goods manufacturing
LNU03032234,"(Unadj) Unemployment Level - Non Durable Goods Industry, Private Wage and Salary Workers",Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Experienced,Nondurable goods manufacturing
LNU04032234,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers",Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Experienced,Nondurable goods manufacturing
