Area,2022_Value
Wales,"74,977"
North Wales,"17,093"
Isle of Anglesey,"1,378"
Gwynedd,"2,616"
Conwy and Denbighshire,"4,145"
Flintshire and Wrexham,"8,953"
Mid and South West Wales,"19,480"
Mid Wales,"4,062"
South West Wales,"6,842"
Swansea,"5,904"
Neath Port Talbot,"2,672"
South East Wales,"38,404"
Central Valleys and Bridgend,"9,285"
Cardiff and Vale of Glamorgan,"16,275"
Gwent Valleys,"6,089"
Monmouthshire and Newport,"6,754"
Wales,"23,934"
North Wales,"24,819"
Isle of Anglesey,"19,957"
Gwynedd,"22,172"
Conwy and Denbighshire,"19,655"
Flintshire and Wrexham,"30,794"
Mid and South West Wales,"21,561"
Mid Wales,"19,742"
South West Wales,"21,824"
Swansea,"24,394"
Neath Port Talbot,"18,790"
South East Wales,"24,930"
Central Valleys and Bridgend,"20,901"
Cardiff and Vale of Glamorgan,"32,245"
Gwent Valleys,"18,125"
Monmouthshire and Newport,"26,430"
Wales,72.6
North Wales,75.3
Isle of Anglesey,60.5
Gwynedd,67.3
Conwy and Denbighshire,59.6
Flintshire and Wrexham,93.4
Mid and South West Wales,65.4
Mid Wales,59.9
South West Wales,66.2
Swansea,74.0
Neath Port Talbot,57.0
South East Wales,75.6
Central Valleys and Bridgend,63.4
Cardiff and Vale of Glamorgan,97.8
Gwent Valleys,55.0
Monmouthshire and Newport,80.2
